championId,is_free,is_new_player_free,maxNewPlayerLevel,platform,fetched_at_utc
2,True,False,10,na1,2025-11-11T01:41:34
38,True,False,10,na1,2025-11-11T01:41:34
42,True,False,10,na1,2025-11-11T01:41:34
44,True,False,10,na1,2025-11-11T01:41:34
50,True,False,10,na1,2025-11-11T01:41:34
60,True,False,10,na1,2025-11-11T01:41:34
74,True,False,10,na1,2025-11-11T01:41:34
90,True,False,10,na1,2025-11-11T01:41:34
92,True,False,10,na1,2025-11-11T01:41:34
96,True,False,10,na1,2025-11-11T01:41:34
102,True,False,10,na1,2025-11-11T01:41:34
104,True,False,10,na1,2025-11-11T01:41:34
105,True,False,10,na1,2025-11-11T01:41:34
114,True,False,10,na1,2025-11-11T01:41:34
166,True,False,10,na1,2025-11-11T01:41:34
221,True,False,10,na1,2025-11-11T01:41:34
234,True,False,10,na1,2025-11-11T01:41:34
412,True,False,10,na1,2025-11-11T01:41:34
498,True,False,10,na1,2025-11-11T01:41:34
888,True,False,10,na1,2025-11-11T01:41:34
17,False,True,10,na1,2025-11-11T01:41:34
18,False,True,10,na1,2025-11-11T01:41:34
33,False,True,10,na1,2025-11-11T01:41:34
37,False,True,10,na1,2025-11-11T01:41:34
51,False,True,10,na1,2025-11-11T01:41:34
54,False,True,10,na1,2025-11-11T01:41:34
80,False,True,10,na1,2025-11-11T01:41:34
82,False,True,10,na1,2025-11-11T01:41:34
89,False,True,10,na1,2025-11-11T01:41:34
91,False,True,10,na1,2025-11-11T01:41:34
112,False,True,10,na1,2025-11-11T01:41:34
113,False,True,10,na1,2025-11-11T01:41:34
115,False,True,10,na1,2025-11-11T01:41:34
131,False,True,10,na1,2025-11-11T01:41:34
134,False,True,10,na1,2025-11-11T01:41:34
145,False,True,10,na1,2025-11-11T01:41:34
222,False,True,10,na1,2025-11-11T01:41:34
254,False,True,10,na1,2025-11-11T01:41:34
350,False,True,10,na1,2025-11-11T01:41:34
875,False,True,10,na1,2025-11-11T01:41:34
